case,time_ps,donor,bridge,acceptor
noncondon,11.25,0.02441544,0.02709729,0.94238529
noncondon,11.30,0.02415233,0.02692666,0.94281259
noncondon,11.35,0.02389486,0.02674875,0.94325435
noncondon,11.40,0.02364025,0.02658329,0.94367449
noncondon,11.45,0.02339582,0.02641455,0.94408755
noncondon,11.50,0.02314642,0.02625825,0.94449345
noncondon,11.55,0.02290794,0.02610180,0.94489238
noncondon,11.60,0.02266864,0.02595275,0.94528162
noncondon,11.65,0.02243900,0.02579802,0.94566673
noncondon,11.70,0.02220531,0.02564715,0.94605182
noncondon,11.75,0.02198438,0.02549792,0.94642279
noncondon,11.80,0.02176366,0.02534889,0.94678609
noncondon,11.85,0.02155000,0.02521278,0.94714837
noncondon,11.90,0.02133608,0.02507198,0.94749895
noncondon,11.95,0.02112240,0.02494175,0.94784097
noncondon,12.00,0.02091599,0.02480614,0.94818305
noncondon,12.05,0.02071654,0.02466732,0.94852531
noncondon,12.10,0.02051716,0.02453508,0.94886011
noncondon,12.15,0.02031949,0.02440675,0.94918070
noncondon,12.20,0.02013273,0.02427843,0.94950119
noncondon,12.25,0.01994070,0.02415718,0.94981417
noncondon,12.30,0.01975571,0.02403610,0.95011398
noncondon,12.35,0.01957655,0.02392197,0.95042011
noncondon,12.40,0.01939796,0.02380069,0.95071910
noncondon,12.45,0.01922193,0.02367948,0.95101815
noncondon,12.50,0.01905528,0.02356550,0.95130281
noncondon,12.55,0.01889100,0.02345867,0.95158415
noncondon,12.60,0.01872680,0.02335186,0.95185780
noncondon,12.65,0.01856788,0.02324500,0.95212811
noncondon,12.70,0.01840565,0.02314533,0.95239722
noncondon,12.75,0.01825503,0.02303827,0.95266199
noncondon,12.80,0.01809872,0.02293153,0.95292527
noncondon,12.85,0.01795589,0.02283186,0.95318195
noncondon,12.90,0.01780598,0.02273931,0.95343154
noncondon,12.95,0.01766331,0.02263966,0.95367388
noncondon,13.00,0.01752065,0.02255435,0.95390915
noncondon,13.05,0.01737799,0.02245471,0.95415147
noncondon,13.10,0.01724231,0.02236213,0.95438679
noncondon,13.15,0.01710675,0.02226951,0.95461694
noncondon,13.20,0.01697837,0.02217704,0.95484297
noncondon,13.25,0.01685002,0.02208448,0.95506381
noncondon,13.30,0.01672168,0.02200640,0.95527748
noncondon,13.35,0.01660061,0.02192110,0.95549122
noncondon,13.40,0.01647223,0.02183574,0.95570493
noncondon,13.45,0.01635822,0.02175040,0.95591350
noncondon,13.50,0.01623693,0.02166507,0.95611793
noncondon,13.55,0.01612284,0.02158329,0.95631741
noncondon,13.60,0.01600883,0.02150867,0.95651683
noncondon,13.65,0.01590204,0.02143283,0.95670665
noncondon,13.70,0.01578805,0.02136665,0.95689241
noncondon,13.75,0.01568115,0.02128843,0.95707892
noncondon,13.80,0.01557442,0.02121744,0.95726390
noncondon,13.85,0.01546747,0.02113938,0.95744244
noncondon,13.90,0.01536768,0.02106826,0.95762107
noncondon,13.95,0.01526802,0.02100440,0.95779243
noncondon,14.00,0.01516835,0.02094063,0.95796124
noncondon,14.05,0.01506869,0.02087681,0.95812460
noncondon,14.10,0.01497620,0.02080897,0.95829534
noncondon,14.15,0.01488369,0.02074200,0.95845881
noncondon,14.20,0.01479125,0.02067824,0.95862071
noncondon,14.25,0.01470565,0.02061528,0.95877775
noncondon,14.30,0.01461323,0.02055793,0.95892771
noncondon,14.35,0.01452754,0.02050094,0.95907029
noncondon,14.40,0.01444150,0.02045028,0.95922024
noncondon,14.45,0.01435547,0.02038764,0.95937008
noncondon,14.50,0.01427193,0.02032379,0.95951996
noncondon,14.55,0.01419046,0.02027114,0.95965946
noncondon,14.60,0.01411170,0.02021762,0.95979817
noncondon,14.65,0.01403273,0.02016816,0.95992915
noncondon,14.70,0.01395397,0.02011860,0.96006211
noncondon,14.75,0.01388090,0.02007039,0.96019050
